principal Component 1,Principal Component 2,Predicted Label,Actual Label
-0.0022912341675430576,-0.00014627218181952745,1,0
-0.00229501490104362,0.000498273628411418,0,0
-0.0022912341675429587,-0.00014627218181952406,1,0
-0.002291234167543013,-0.0001462721818195261,1,0
-0.002291234167542976,-0.00014627218181952485,1,0
-0.002291234167543012,-0.000146272181819526,1,0
-0.0022912341675430502,-0.00014627218181952707,1,0
-0.0022743553388899864,-0.00013140510999491898,1,0
-0.0022838778096026377,-0.00019637060602427104,1,0
-0.0022912341675430004,-0.0001462721818195257,1,0
-0.0022487127117478147,-0.00010021284659068957,1,0
-0.0022912341675429986,-0.0001462721818195256,1,0
-0.0022914142485842767,-0.000151627726994641,1,0
-0.0022912341675430043,-0.00014627218181952577,1,0
-0.0015540253071372812,-8.947116821613217e-05,1,0
-0.0022912341675429965,-0.0001462721818195256,1,0
-0.002293453761245029,-0.0001303083019584953,1,0
-0.001934760310975275,0.0008136464084173537,0,0
-0.0022885606878333474,-0.00013186395280366653,1,0
-0.0016574903266192995,-0.00017810570307445422,1,0
-0.0022912341675429995,-0.00014627218181952585,1,0
-0.0022912341675430017,-0.00014627218181952574,1,0
-0.0022923328991754895,-0.00016262356364605166,1,0
-0.0023070483780163044,0.0008717387529659515,0,0
-0.0022912341675429995,-0.00014627218181952553,1,0
-0.002301547181472143,0.0009390042443323869,0,0
-0.0022916064515959705,-6.99735908803734e-05,1,0
-0.0022861664597273634,-6.76268037534854e-05,1,0
-0.002306504879429054,0.0009018572902259556,0,0
-0.0016638734800154143,-0.00020397863549680468,4,0
-0.0022912341675430004,-0.00014627218181952563,1,0
-0.002291234167543001,-0.0001462721818195256,1,0
-0.0022981722766898453,-8.205856601635417e-06,1,0
-0.0022912341675430017,-0.0001462721818195256,1,0
-0.002291234167543001,-0.0001462721818195257,1,0
-0.0022936880252595075,-0.0002717560925288724,1,0
-0.0023005972510004727,0.00015056004247705269,1,0
-0.0022912341675430004,-0.00014627218181952571,1,0
-0.002291234167543001,-0.00014627218181952574,1,0
-0.002301691256878071,0.0008785770403312918,0,0
-0.0022912341675430043,-0.0001462721818195258,1,0
-0.002291234167542997,-0.00014627218181952542,1,0
-0.0022912341675430004,-0.00014627218181952558,1,0
-0.0022912341675430017,-0.00014627218181952563,1,0
-0.002291234167542998,-0.00014627218181952547,1,0
-0.002298172276689844,-8.205856601635336e-06,1,0
-0.002291234167542999,-0.00014627218181952558,1,0
-0.0022912341675429995,-0.00014627218181952571,1,0
-0.0022689045489883157,-8.057936710687761e-05,1,0
-0.002272041638617454,-0.00017182332782784103,1,0
-0.002291234167543001,-0.00014627218181952558,1,0
-0.0023028336309766726,0.000874575151713091,0,0
-0.0022971084896867386,0.00029280686236243385,1,0
-0.00230929527841155,0.0009936916513910378,0,0
-0.002309644692994674,0.0008658821233922983,0,0
-0.0022944681293995527,-0.00016161782316626442,1,0
-0.0022916196518468534,0.00027614975831823893,1,0
-0.002284584352125013,-6.132170633869223e-05,1,0
-0.002296120449115095,0.0002881120237271553,1,0
-0.002291234167543001,-0.00014627218181952553,1,0
-0.0023034620026034015,0.0008853151464173199,0,0
-0.0023039908519153114,0.0003727430561273411,1,0
-0.002299858098486572,0.0008752242860301889,0,0
-0.0023045824218262535,0.0008764324238370537,0,0
-0.00229832843843036,0.000882146234371446,0,0
-0.0022920588448502584,-4.152367990284929e-05,1,0
-0.002299898837118085,0.0008760951587297678,0,0
-0.002292332899175491,-0.00016262356364605147,1,0
-0.0023069726496033607,0.0008946502076385277,0,0
-0.002293074953393188,0.00037135844342674526,1,0
-0.0022912341675430004,-0.00014627218181952558,1,0
-0.002295219226259,-3.311686944517311e-05,1,0
-0.0023142823785605258,0.0008348060371094599,0,0
-0.0022992740504043457,0.00020781039288801753,1,0
-0.0022912341675430017,-0.0001462721818195256,1,0
-0.0023003280892572096,-0.00012349222086189169,4,0
-0.002303710840082292,0.00037663248983918815,1,0
-0.0022912341675430012,-0.0001462721818195256,1,0
-0.0023056386208944162,0.0008743725484036547,0,0
-0.0023063068572849337,0.0002831732872955908,1,0
-0.002298150030354914,-6.393352703172286e-05,3,0
-0.002312581310897298,0.0008910285207362115,0,0
-0.002291234167543001,-0.00014627218181952555,1,0
-0.0023116508918033306,0.0009669219878540813,0,0
-0.0022923328991754912,-0.00016262356364605141,1,0
-0.0022912341675430017,-0.0001462721818195256,1,0
-0.002291234167543001,-0.0001462721818195256,1,0
-0.0022912341675430004,-0.00014627218181952555,1,0
-0.002157631789648325,-0.0002843946777016116,1,0
-0.002292294993996798,-4.913500228721263e-05,1,0
-0.0022912341675430017,-0.0001462721818195256,1,0
-0.002291234167543001,-0.00014627218181952558,1,0
-0.0022912341675430012,-0.0001462721818195256,1,0
-0.002294818627915068,-0.00014303135102324227,1,0
-0.0022912341675430012,-0.00014627218181952558,1,0
-0.0023153909888595824,0.0009037356752275194,0,0
-0.002295680901677392,-0.00015167034562938372,3,0
-0.002301000663393314,0.0008805178448071975,0,0
-0.002303079816437162,0.0008732946481684696,0,0
-0.0022912341675430012,-0.0001462721818195256,1,0
-0.0022937893483792175,-0.00012743212065601753,1,1
-0.0022944054950817024,-0.00013208690100399907,1,1
-0.0023092018547180076,0.0008816435629059964,0,1
-0.002294545808976222,-7.757527739663821e-05,1,1
-0.0022978255361035846,-0.00011566459393714855,1,1
-0.0019533594598255327,-9.828837264963933e-05,1,1
-0.00230716201759497,0.0008790409165575495,0,1
-0.0023115524813602417,0.0008703298605352162,0,1
-0.002296033240371114,-9.558505101591712e-05,1,1
0.006551553994548794,-0.00011206334474281913,1,1
-0.0022976999598397474,-0.00019269918448830824,1,1
-0.002299377297609654,-0.00013244958379655489,1,1
-0.002301146755813483,-0.0001332807086226862,1,1
-0.0022946733094578215,-0.00012220017779837207,1,1
-0.0022993453637244056,-0.0001514045943937185,1,1
0.017725586288308826,-7.056708117026631e-05,1,1
-0.0022946748509546483,-0.00012349764127775163,1,1
-0.0022988134675828082,-0.000123576137556221,1,1
-0.0022944504123768076,-0.00013706521099813405,1,1
-0.0022926931883711834,-0.00015021540474431156,1,1
-0.0022934702177092414,-0.0001230370209103142,1,1
-0.0023120958949454516,0.0009717541793390457,0,1
-0.002299627144212456,-0.0001302230724491143,1,1
-0.0022975106315975425,-0.00012658012358146155,1,1
-0.002299288594796119,-0.00012441280801060985,1,1
0.006620951538160751,-0.00014300332319091432,1,1
-0.0023015815988391454,-0.00011745029734713156,1,1
-0.002297518144884772,-8.707639513250722e-05,1,1
-0.002305637476220763,-0.00014036758468114998,1,1
-0.002313071071961638,0.0008787958261636552,0,1
0.0021129712756545365,-0.00013619543813996247,1,1
-0.002294822946836865,-0.00012372274922790277,1,1
-0.0022992848379930946,-0.00012044452676192347,1,1
-0.0022973784163915966,-0.00012176348735731521,1,1
0.006296362117471384,-9.53698909956928e-05,1,1
-0.002295103913369138,-0.00012805843908366457,1,1
0.0016006644469132674,-0.00010871066823692018,1,1
0.0066197569856014625,-0.00014280005270132624,1,1
0.0023973579767282574,-0.00015223195419017743,1,1
-0.00229259789114597,-0.00017690826686683235,1,1
-0.0023033143466294286,-0.00012567247160467663,1,1
-0.0022943423915358172,-0.00016635853998429398,1,1
-0.0023078808898288916,0.0008597453400061883,0,1
-0.0023123067024308987,0.0008731227881560827,0,1
-0.0022932072744051156,-0.00010699270790276231,1,1
-0.002305637476220764,-0.00014036758468115006,1,1
-0.002294156541794006,-0.00016059731176625063,1,1
0.006619658959487182,-0.00014575067595754432,1,1
-0.002298423667922139,-0.0001328309088281181,1,1
0.004461128793375856,1.0656384353866223e-05,1,1
-0.0022952082250041203,-0.00012009440418912091,1,1
0.002420885329184691,-0.00014105541218051532,1,1
-0.0022923892815761683,-0.00011719585663913864,1,1
-0.002298454996231725,-0.00013487465971498408,1,1
-0.0022942340173729993,-0.00014145957219300855,1,1
-0.002312127777035109,0.0008974558228957124,0,1
-0.002298740507458405,-0.00012580279609386596,1,1
-0.002308532582155664,0.0008367599165195764,0,1
-0.0022935736186082013,-0.0001318361756892881,1,1
-0.002293789348379217,-0.00012743212065601764,1,1
-0.002307636923146783,0.0008766034491143851,0,1
0.0032206544314076547,-0.0002773256870071403,1,1
-0.00229558875619439,-0.00013242770284921975,1,1
-0.0015214358996759453,-6.465587414424224e-05,4,1
0.006622535548142232,-0.0001372856434202568,1,1
-0.002308568473731687,0.0008666530005731534,0,1
0.000251558083038583,-0.00015978725815466032,1,1
0.00038543076414303685,-0.0001589625352523413,1,1
-0.0022980188149333363,-0.0001286879307132273,1,1
-0.002293255246361988,-0.00012935176115202763,1,1
-0.0023079178957220174,0.0008832472714327544,0,1
-0.002293913239422788,-0.00013004270893340026,1,1
-0.0022948921881461495,-0.00012465313333274463,1,1
0.005909074770936292,-5.955730144287513e-05,1,1
-0.002311644354348808,0.0008767271089606978,0,1
-0.0023052564205432334,-0.00013959927066354492,1,1
-0.002305678426810334,0.0008831081408923674,0,1
-0.0022943817717152775,-0.00012799337792008712,1,1
-0.002296211825479402,-0.00013179897015429102,1,1
-0.0023019630033775185,-0.00013492346926232372,1,1
-0.0022973849551471324,-0.0001496222727102022,1,1
-0.002299398200736123,-0.00013048228358554883,1,1
-0.0023005037232068423,-0.00011053797278347529,1,1
-0.002296898375149134,-0.0001295975935525075,1,1
-0.002310636706426793,0.0008795489669313837,0,1
